"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1110019D14Rik"	1498	-0.697342462928653	1.4210066256863	1.71458776461636	0.230664637056014	0.279904954860862	"1110019D14Rik"	1.12417059878323	1.29578717944678	0.703329420561972	0.693156980953137	2.51273232602218	1.38262538110242
"1110032A03Rik"	5581	-0.398081156433598	4.39844098504642	2.2434977924668	0.176715080196353	0.221260656021095	"1110032A03Rik"	4.30623164843161	3.9840542123524	4.25278722722196	4.54989275057054	4.96458535834295	4.1045562094749
"1110038B12Rik"	590	-0.676189917228286	3.93870668495569	7.88877958980229	0.0254734707988147	0.0398270575997382	"1110038B12Rik"	3.33722977407209	3.57910260117176	3.75345979498667	4.40852130801993	4.25445835684332	4.02055596542014
"1110038F14Rik"	1661	-0.8339751387149	5.72952638943878	20.8838111800868	0.00240104777286937	0.00523787864866996	"1110038F14Rik"	5.27137916122686	5.34902596662808	5.13929657027711	6.38258972815927	6.0605015024879	5.74514440030209
"1110051M20Rik"	5946	-0.231564057780621	4.21039456316968	1.3130611866151	0.288529118677577	0.34157317573067	"1110051M20Rik"	3.92134079619849	4.22820077428692	4.10895950800108	4.24303565073308	4.3206832021641	4.39880656324619
"1110059E24Rik"	1428	0.710526060079379	5.85022581985475	27.6149015778231	0.00108208666198276	0.0027554647396926	"1110059E24Rik"	6.16015580965233	6.21400848973015	6.10768342142094	5.64403150094905	5.4011675213979	5.28293046576337
"1110059G10Rik"	3361	-0.316528850664846	4.1075244988084	1.21578700957551	0.305708659032587	0.359743725523421	"1110059G10Rik"	3.87147555059994	3.83649284983565	4.10475222950242	3.94728095661693	4.72979324503819	3.94154811177496
"1190007I07Rik"	748	-0.596973126928218	3.85848310473604	5.7369556587588	0.0468730130073232	0.0679821187309298	"1190007I07Rik"	3.42281231276038	3.57268427134822	3.6005036954213	4.43178482635092	3.93481190237238	3.95166397466185
"1300002E11Rik"	3960	-0.310603525952538	5.81410905684157	4.1940615784431	0.0786926514643058	0.107326216935596	"1300002E11Rik"	5.71622214857983	5.63894984536686	5.59719136915535	6.17308974376417	5.97766678896287	5.68880717749289
"1500004A13Rik"	7194	0.184028186246313	2.62110071013882	0.0987986206778373	0.762197321878436	0.798073394755485	"1500004A13Rik"	2.67819826203848	2.59994200145959	2.84914271646847	0.972357566084088	2.30695754725534	3.40704712087846
