"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1110051M20Rik"	5946	-0.0350403577623096	4.34762498341175	0.00416157789734	0.950079476643058	0.988870906808692	"1110051M20Rik"	4.83949848503321	3.92659109231832	4.13682123170367	4.24331735198383	4.27862931014986	4.48186145789548
"1110059E24Rik"	1428	0.272271270149531	5.6118884750619	0.58119175718504	0.466802260438489	0.792183867025429	"1110059E24Rik"	5.75979937880685	5.41059110250891	6.01133624843229	5.64258342707989	5.35754430161476	5.36511762947654
"1110059G10Rik"	3361	-0.12691656552346	4.18500007873204	0.0535312555574772	0.822589888263816	0.954711857612904	"1110059G10Rik"	3.83738234308227	4.26147011375305	4.18437962764638	3.94819556928937	4.68700447889751	4.02530889553025
"1190007I07Rik"	748	0.10112880093866	4.24967047397586	0.033182098616177	0.859796147731924	0.966866917308005	"1190007I07Rik"	4.98568127267933	3.45844654672607	4.21086813849851	4.4317252817664	3.89367015474721	4.03540660491456
"1300002E11Rik"	3960	-0.00692721448141807	5.98342307704675	0.000468459199703494	0.983239570972356	0.99713093952354	"1300002E11Rik"	6.43806937399666	5.85362740942803	5.56190029020592	6.17131780672008	5.93357950083295	5.77074261604917
"1500004A13Rik"	7194	0.0767839688923642	2.45849165165238	0.00723670246597668	0.93420822763064	0.986395641851834	"1500004A13Rik"	2.45073142972883	2.539929817232	1.91793458062836	0.996510433338587	2.27391571998228	3.4919725161522
"1500011B03Rik"	1739	0.151969828855345	4.99209750237025	0.131846922313762	0.725532439206302	0.920508241247494	"1500011B03Rik"	4.92077701112047	5.12724664644023	5.14417300916946	4.8942225420951	4.93097525431575	4.91273574919509
"1500012K07Rik"	2626	-1.15877821404253	2.55650927873035	2.02225458316821	0.191215987583775	0.539770812463107	"1500012K07Rik"	-0.406403106912337	3.25516529097754	1.06648292107954	0.320165909170307	3.60754933027193	3.27049414198914
"1500015A07Rik"	1865	-0.837215814882456	2.02222443470941	0.928154671737649	0.362371433439937	0.71644234079068	"1500015A07Rik"	1.62177336139348	2.65470540509505	-0.267166423140517	1.7543233871587	2.78838338535631	1.97501535764914
"1600010M07Rik"	616	-0.238561594848987	2.64788954748529	0.0209177923381267	0.888428337458348	0.973374611304295	"1600010M07Rik"	0.119506774151086	4.48734452869293	-1.01726830104874	0.0267604972148947	1.72198180214468	3.28749240275314
"1600012H06Rik"	2756	0.114754890236416	3.76069305255424	0.0341404541400125	0.857811137456194	0.965869939405457	"1600012H06Rik"	3.3569514519006	3.98260105206471	4.05145748009319	3.66432793981508	3.50934161861841	3.87597631261314
"1600014C10Rik"	3453	2.11550747467231	5.1688788950953	21.7530595438954	0.00143459464661045	0.0291245484605519	"1600014C10Rik"	6.47728825445488	4.90758931157419	5.87512549795112	3.82497421047286	3.46636296511524	3.67103588833983
"1600020E01Rik"	681	0.735876338928459	5.80461694799376	4.62066162714671	0.0623558376296339	0.29668051390305	"1600020E01Rik"	6.1384329068653	6.10141010815284	6.10610876213111	5.73260669984452	5.04928253365115	5.36110873844356
"1700001G01Rik"	1562	0.738292889376415	2.582323338754	0.854396923673917	0.38120981967487	0.730864991289694	"1700001G01Rik"	0.633169995765945	4.01519213300671	2.83750077026299	0.954367760534714	2.47810234986998	1.9324223230087
"1700001G11Rik"	771	-1.89912336311393	1.69531583619338	2.06375450413896	0.187174764049098	0.533639002052988	"1700001G11Rik"	2.16070990555014	0.973090934118464	-2.6697686207104	2.08244739546206	2.38885449676252	1.698267864784
"1700001J03Rik"	4070	-0.98375254887772	4.28018064841806	0.296605807728858	0.600236382122265	0.868620207784217	"1700001J03Rik"	2.45073142972883	4.555406902452	-1.28691597680586	2.73284384116149	2.74588601807745	6.21467218227876
"1700001L05Rik"	6003	-1.86912137128887	2.81665322765395	3.91118460890491	0.0817903008912692	0.348699316133111	"1700001L05Rik"	-0.848438887145715	3.41024798443851	1.28168077675418	1.65256842280076	3.37636270581944	3.9418772528171
"1700007L15Rik"	747	0.319648737193144	3.22893223600474	0.191395362811873	0.672837274848566	0.899258305584234	"1700007L15Rik"	4.0018130482793	2.31407537840609	3.46233332613113	3.46112726632625	2.89594558192798	2.49744813263763
"1700010I14Rik"	1976	-0.287396998932238	3.36571994266281	0.188185805767553	0.675405567739274	0.900232733473906	"1700010I14Rik"	3.1020580566767	3.10175737613005	3.42887566581294	3.43837566179836	3.38561962600942	3.65802378640403
"1700010J16Rik"	887	-1.51742712646879	1.78986386859628	1.45194534778377	0.261206143386921	0.623644875584934	"1700010J16Rik"	-1.48896264391155	2.99687229890169	-0.790170607098226	-0.240574787417964	1.98817496963603	2.88017418071609
"1700010L04Rik"	4290	0.6287012685715	3.16610207582831	0.407137355770868	0.540501756166403	0.836188590856805	"1700010L04Rik"	1.65255679461609	4.8364200883303	1.6732142282481	0.320165909170307	2.99604174784259	3.33731756746824
"1700016L04Rik"	910	0.499371430346407	3.11365549191464	0.254342125044638	0.627051982747461	0.880294978603265	"1700016L04Rik"	1.14710586108236	3.75710196731531	3.69591770168634	1.67868786987476	0.922301456601973	4.2060312476683
"1700017B05Rik"	6115	-0.0357382256650007	6.1458950526331	0.00904008299175779	0.926490823672104	0.983901722265007	"1700017B05Rik"	5.68173479062485	6.10141010815284	6.50435025920809	6.42864251696424	6.22284197186538	5.73401324052376
"1700019D03Rik"	4304	0.842568342320863	4.38013176861233	0.827549820296534	0.388448781227434	0.736574346508042	"1700019D03Rik"	3.19908778087651	5.59077641470631	3.81293335579386	2.04277555645211	2.86979747404183	5.40849550700022
"1700019J19Rik"	970	-0.0308765591962208	1.55992785479317	0.000928834407184196	0.976401679750929	0.994928786836796	"1700019J19Rik"	1.95382319397293	0.444750306610639	1.59492776385817	2.04277555645211	2.05931536535856	-0.0623032391662521
"1700021G15Rik"	534	0.159226545620772	2.79453282660006	0.0130914585345766	0.911606190435704	0.979050739119245	"1700021G15Rik"	1.82461989108528	2.569491047262	0.880996708231788	-0.145851050580912	1.46682453281147	4.75669422220019
"1700023F02Rik"	1318	-0.0526111862985924	2.21346279388318	0.00476557167996742	0.946585554957111	0.987923189757733	"1700023F02Rik"	-0.539247192435053	3.5502663005063	1.78321262023796	-0.0569652969198602	2.68720255193335	2.27687630824742
