"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"1110008P14Rik"	657	-0.175988458081091	5.16363987591212	4.2885756475621	0.0684054121974252	0.372830294483297	"1110008P14Rik"	5.1038680609522	5.24181550674784	5.38848012083863	5.07954708176823	5.06882721511568	5.06274394889617
"1110019D14Rik"	1498	-0.27159416929049	1.12369239633744	0.731666243710821	0.414632080250278	0.719167272255683	"1110019D14Rik"	1.60930258141335	0.619447123488399	1.38270373306514	1.03719108711737	1.21989655846023	0.620500683820859
"1110032A03Rik"	5581	0.0864012575854955	4.07463696950928	0.635382427215082	0.445996867222798	0.739269496795663	"1110032A03Rik"	4.1119503712595	3.95566678341795	4.01668692896723	4.2318574783556	3.91912654563445	4.18787354768618
"1110038B12Rik"	590	-0.438996105025851	3.73158470041074	11.2756350152527	0.00847078071668807	0.160958610092869	"1110038B12Rik"	3.92804196949977	3.95566678341795	3.89797963414193	3.26136686928501	3.51352487618635	3.68785834931159
"1110038F14Rik"	1661	0.0408259822849742	5.16759498730359	0.284718173790656	0.60660724904183	0.838626199224138	"1110038F14Rik"	5.21521769404915	5.1683554071113	5.05326082131453	5.1977628100697	5.28532473568671	5.07514598268416
"1110051M20Rik"	5946	0.323700333200772	3.86961787187274	8.09593529235171	0.0193201064724383	0.232742006051354	"1110051M20Rik"	3.55733753266567	3.72728165843765	3.80548074349742	3.84649138445881	4.16358531933215	4.04387151659744
"1110059E24Rik"	1428	0.000796505102648439	6.09509996721597	0.00011726358955932	0.991597303309596	0.998366786629465	"1110059E24Rik"	6.03624104006996	6.01777974858448	6.22366794261056	6.08690533060535	6.15065805573221	6.04397225717734
"1110059G10Rik"	3361	-0.209753007890633	3.98404603538714	3.36795821542472	0.0998189886972377	0.425142934175448	"1110059G10Rik"	3.93735208773429	4.14924249615226	4.14805211319485	3.79655475025414	3.77134917010633	4.03965887254596
"1190007I07Rik"	748	-0.054391423380138	3.49249152133202	0.196454997747658	0.668106853702068	0.868816319234605	"1190007I07Rik"	3.4829939579251	3.52314720894221	3.5471213738137	3.34712478557587	3.50709470058049	3.53463923409364
"1300002E11Rik"	3960	-0.0269592265963488	5.59779077960018	0.155070411953322	0.702943806313873	0.883482953098174	"1300002E11Rik"	5.59346983199051	5.63454270668314	5.60388255525048	5.64281688291438	5.57539024725654	5.53328521728264
"1500004A13Rik"	7194	0.434078711515854	2.44177370009933	6.67357517266529	0.0296391728677409	0.273960606877742	"1500004A13Rik"	2.28515162534281	1.961745685125	2.38091118939208	2.60057107337517	2.5317814320737	2.78149020718948
"1500011B03Rik"	1739	0.101187684013598	4.792757242269	1.32063493066446	0.280230801532912	0.629085280702401	"1500011B03Rik"	4.67074804966052	4.79657556960326	4.75420743397523	4.86372879980835	4.77706963338385	4.8839608815481
"1500015A07Rik"	1865	-0.129530350421864	2.52756183388487	0.406156340156649	0.539868658516925	0.796637974645883	"1500015A07Rik"	2.82608053033386	2.48519092071108	2.40512884103322	2.50430276020765	2.02008489232764	2.78149020718948
"1600012H06Rik"	2756	0.178335917212856	4.67659496650739	2.70414991177346	0.134651434997549	0.478485381401901	"1600012H06Rik"	4.31487730195767	4.57386810180388	4.83665036162874	4.750257652411	4.72814746484062	4.79178608735914
"1600014C10Rik"	3453	0.0816753493171236	5.91616724692146	1.57991201290863	0.240551954535032	0.592458246365983	"1600014C10Rik"	5.91070236765289	5.93984027559806	5.7716048655523	5.97012342596435	5.95430478757443	5.94270559825084
"1600020E01Rik"	681	0.101797513585885	5.47600041526301	1.9163665315734	0.199761792393356	0.553275143375655	"1600020E01Rik"	5.43489549112574	5.43192526656122	5.40358468995591	5.47992859697198	5.65024620577995	5.44366414535418
"1700007L15Rik"	747	-0.016580362080789	2.8870933900333	0.0109914543202914	0.918812201013496	0.972994254688794	"1700007L15Rik"	2.98715614307973	2.75166089209402	2.94063425119544	2.8063481986401	3.02131624990903	2.80153240504269
"1700008J07Rik"	2432	0.150751463415581	1.32766255357773	0.372620597446504	0.556744347930927	0.807049475084261	"1700008J07Rik"	1.29852000830729	1.57430710129987	0.823689634583404	1.19970410593486	1.57992264635674	1.37597518344051
"1700010I14Rik"	1976	0.0845740271759685	1.39488891404815	0.0515527285272016	0.825479181889859	0.937334817232613	"1700010I14Rik"	1.69961209935646	1.4179860610006	0.787299098192455	0.854020087130146	1.25101473260914	1.99642534183841
"1700012D01Rik"	695	-0.125756646201561	0.896032142457401	0.177763938272832	0.683237543287488	0.87509058092945	"1700012D01Rik"	0.782966636084322	0.915157039253404	1.11550153871667	0.8144200935506	1.21989655846023	0.375121289984634
"1700017B05Rik"	6115	0.030977937937127	5.94010997817841	0.221529512528293	0.649124710412836	0.860646115602976	"1700017B05Rik"	5.86995642457573	5.88650432525313	6.01428730051094	5.93938869758119	5.98470641279155	5.94044780265733
"1700028E10Rik"	2718	-0.0427274314173596	1.84356678841695	0.0338659331447346	0.858089983865699	0.950981048006366	"1700028E10Rik"	1.99538858096645	2.1439035162683	1.35810345097458	2.12180596067664	1.60422590372971	1.66563699970684
"1700029H14Rik"	1781	0.0020550899192095	0.735193073574518	5.05406812725636e-05	0.994483507786554	0.999330619476585	"1700029H14Rik"	0.863313646465647	0.349558139980946	0.92765798041203	0.398498872554915	0.648453501750523	1.08032527759393
"1700029J07Rik"	4450	0.127760988210707	3.38917354291704	0.525362304802678	0.487059971910411	0.765398827569547	"1700029J07Rik"	3.15616352265067	3.534069877855	3.21172765070099	2.93193460514817	3.48108351102018	3.83610506645822
"1700030K09Rik"	2703	-0.0520335135619146	5.77631264298535	0.668815914784706	0.434673956141675	0.732228783801386	"1700030K09Rik"	5.75487630360543	5.83774778381008	5.81178925739337	5.72653977498598	5.79187348441837	5.73042379633068
"1700037C18Rik"	1097	-0.110985478688705	1.94280987550767	0.305226447918451	0.594136785333532	0.831642590288128	"1700037C18Rik"	1.90337329414338	2.08570282014609	1.97458590292306	1.62291043441026	1.86780802108035	2.12922936445525
"1700037H04Rik"	1975	-0.235992731423276	4.05747028151324	3.9776953553578	0.0773886180577795	0.384273879480169	"1700037H04Rik"	3.97400313743271	4.30402533153045	4.21122335553112	3.96877346013995	3.92396190869492	3.89791685646581
"1700041G16Rik"	2069	0.378387091117562	1.13345591936818	1.91512945361588	0.199893913311386	0.553371076418599	"1700041G16Rik"	0.782966636084322	1.26903693937863	0.711642827799599	0.930101169899999	1.31130708954136	1.59848954830992
"1700048O20Rik"	1848	-1.13353477301388	2.09671985604382	21.0399040576914	0.00133029964665912	0.0654401235278152	"1700048O20Rik"	2.67843793369633	2.40416261680753	2.4754341760034	1.28909319001949	0.865067381767135	1.97893114355744
